ticker,predicted_rank,watchlist_signal,score_date
NFLX,0.6038385204005439,BUY,2026-05-04
ORCL,0.6001256604144243,BUY,2026-05-04
INTC,0.5964382261409134,BUY,2026-05-04
SYK,0.5810493204471586,BUY,2026-05-04
APD,0.5780296405676375,BUY,2026-05-04
DHR,0.5753387874995075,BUY,2026-05-04
MSFT,0.5739707566380663,BUY,2026-05-04
HD,0.5728794425093877,BUY,2026-05-04
TMO,0.5684544211518757,BUY,2026-05-04
FIS,0.555689146595375,BUY,2026-05-04
RTX,0.5540535147781713,BUY,2026-05-04
NOW,0.5527329649680818,BUY,2026-05-04
LMT,0.5488038546754018,BUY,2026-05-04
NKE,0.5459534675732512,BUY,2026-05-04
CMCSA,0.5453921827099948,BUY,2026-05-04
BDX,0.5427863018819648,BUY,2026-05-04
IBM,0.5414294826012923,BUY,2026-05-04
ADP,0.5377622936321385,BUY,2026-05-04
BLK,0.5343240154132999,BUY,2026-05-04
AMGN,0.5342110858238888,BUY,2026-05-04
INTU,0.5335761921808113,HOLD,2026-05-04
MDT,0.5333745509248992,HOLD,2026-05-04
LOW,0.5333115732286245,HOLD,2026-05-04
NVDA,0.5326238231860765,HOLD,2026-05-04
LIN,0.5316469774170239,HOLD,2026-05-04
JNJ,0.5300783537407483,HOLD,2026-05-04
WM,0.5296363858504789,HOLD,2026-05-04
UPS,0.5296012522848832,HOLD,2026-05-04
ROP,0.5294784508167503,HOLD,2026-05-04
SHW,0.527602164074651,HOLD,2026-05-04
ITW,0.5274835542505317,HOLD,2026-05-04
GILD,0.5266181016873264,HOLD,2026-05-04
MO,0.524239500004495,HOLD,2026-05-04
VZ,0.5233438276091771,HOLD,2026-05-04
META,0.5220187474938058,HOLD,2026-05-04
HON,0.5204020187113201,HOLD,2026-05-04
ECL,0.5190178612467263,HOLD,2026-05-04
MRK,0.5149974234236487,HOLD,2026-05-04
COST,0.5149681739848945,HOLD,2026-05-04
SO,0.5144578056294659,HOLD,2026-05-04
BRK-B,0.5140866772839225,HOLD,2026-05-04
FDX,0.5118803141691449,HOLD,2026-05-04
BA,0.5091530358159964,HOLD,2026-05-04
ZTS,0.5084020699775902,HOLD,2026-05-04
CB,0.5082464732293643,HOLD,2026-05-04
HCA,0.5072083856974363,HOLD,2026-05-04
CSCO,0.506543790408736,HOLD,2026-05-04
CME,0.5058027772190358,HOLD,2026-05-04
SCHW,0.5056526143613922,HOLD,2026-05-04
AON,0.505432337471386,HOLD,2026-05-04
ETN,0.5049124935951991,HOLD,2026-05-04
QCOM,0.5044128571570011,HOLD,2026-05-04
AXP,0.5034748630417757,HOLD,2026-05-04
ABT,0.5031436560131688,HOLD,2026-05-04
SLB,0.5011942514585185,HOLD,2026-05-04
KO,0.5006453177103577,HOLD,2026-05-04
PEP,0.5001070857209355,HOLD,2026-05-04
CSX,0.4982376408216179,HOLD,2026-05-04
TJX,0.49783260197628126,HOLD,2026-05-04
REGN,0.49779129704614006,HOLD,2026-05-04
DIS,0.49746214268385086,HOLD,2026-05-04
BAC,0.4958570423604745,HOLD,2026-05-04
XOM,0.4950604202080883,HOLD,2026-05-04
PNC,0.49342144288305395,HOLD,2026-05-04
DUK,0.4927861932771577,HOLD,2026-05-04
USB,0.49249471549068385,HOLD,2026-05-04
PFE,0.4922733855519356,HOLD,2026-05-04
ISRG,0.49182308895620025,HOLD,2026-05-04
EQIX,0.49127247586513095,HOLD,2026-05-04
CI,0.49109192642722954,HOLD,2026-05-04
TGT,0.4906357231805092,HOLD,2026-05-04
DE,0.4904395851695895,HOLD,2026-05-04
ADBE,0.4892698236530784,HOLD,2026-05-04
ICE,0.4887344969153353,HOLD,2026-05-04
PG,0.4874511051509399,HOLD,2026-05-04
PLD,0.48592921236362674,HOLD,2026-05-04
PM,0.48494356244099096,HOLD,2026-05-04
CL,0.48385020461328965,HOLD,2026-05-04
GS,0.48328911456082807,HOLD,2026-05-04
TXN,0.4829862983394288,HOLD,2026-05-04
MA,0.481584237735118,AVOID,2026-05-04
AMZN,0.47403369191514144,AVOID,2026-05-04
MCD,0.47363260798790796,AVOID,2026-05-04
SPGI,0.4728887007471816,AVOID,2026-05-04
NSC,0.4636524984956301,AVOID,2026-05-04
NEE,0.4620227117407499,AVOID,2026-05-04
MRSH,0.4568490105102358,AVOID,2026-05-04
GE,0.4567459021968574,AVOID,2026-05-04
LLY,0.4553169930549414,AVOID,2026-05-04
CRM,0.4493539350989564,AVOID,2026-05-04
ACN,0.4478257574711837,AVOID,2026-05-04
UNH,0.4359436833476001,AVOID,2026-05-04
JPM,0.43168408154570614,AVOID,2026-05-04
GOOGL,0.43043390394042724,AVOID,2026-05-04
BKNG,0.42845085978328207,AVOID,2026-05-04
CAT,0.42810658972874666,AVOID,2026-05-04
V,0.4247199453662888,AVOID,2026-05-04
CVX,0.4121922736218493,AVOID,2026-05-04
AAPL,0.39944660492059797,AVOID,2026-05-04
WMT,0.3965829305459673,AVOID,2026-05-04
