ticker,predicted_rank,watchlist_signal,score_date
ZTS,0.7036114662032801,BUY,2026-05-18
ADP,0.666153509594281,BUY,2026-05-18
MSFT,0.6620034360454138,BUY,2026-05-18
CRM,0.6401500521398571,BUY,2026-05-18
META,0.6344432411716623,BUY,2026-05-18
APD,0.587404933489141,BUY,2026-05-18
HD,0.5796084699582328,BUY,2026-05-18
CMCSA,0.577101236561976,BUY,2026-05-18
NFLX,0.5752433855591276,BUY,2026-05-18
INTU,0.5725711424303735,BUY,2026-05-18
MO,0.5723650901377407,BUY,2026-05-18
SHW,0.5646815212173674,BUY,2026-05-18
NKE,0.5623584395097836,BUY,2026-05-18
DHR,0.5604058548321175,BUY,2026-05-18
SYK,0.5597485921300648,BUY,2026-05-18
LMT,0.5588746648286824,BUY,2026-05-18
LOW,0.5583149417436368,BUY,2026-05-18
TMO,0.5528375501769439,BUY,2026-05-18
ISRG,0.5524641524825384,BUY,2026-05-18
RTX,0.5498258584973,BUY,2026-05-18
AMGN,0.5492285133501265,HOLD,2026-05-18
ORCL,0.5461468135916677,HOLD,2026-05-18
REGN,0.5419270212525034,HOLD,2026-05-18
BLK,0.5402541313982518,HOLD,2026-05-18
AON,0.5401401096974348,HOLD,2026-05-18
GILD,0.5340370917006105,HOLD,2026-05-18
XOM,0.5326238825233104,HOLD,2026-05-18
MDT,0.5326062109685159,HOLD,2026-05-18
ITW,0.5301914625740014,HOLD,2026-05-18
SO,0.5295867757788494,HOLD,2026-05-18
DE,0.5290202316226265,HOLD,2026-05-18
ROP,0.5281420519805161,HOLD,2026-05-18
COST,0.5276116339832552,HOLD,2026-05-18
VZ,0.5253530662784928,HOLD,2026-05-18
UPS,0.5246607143600053,HOLD,2026-05-18
ABT,0.5235994821610701,HOLD,2026-05-18
NOW,0.5234727225351663,HOLD,2026-05-18
BDX,0.5207359667886496,HOLD,2026-05-18
IBM,0.5194677642666343,HOLD,2026-05-18
AMZN,0.5192299473324195,HOLD,2026-05-18
LIN,0.519181530460494,HOLD,2026-05-18
WM,0.5190136854774169,HOLD,2026-05-18
KO,0.5170107068404044,HOLD,2026-05-18
ECL,0.5160664163531844,HOLD,2026-05-18
INTC,0.5158251319782594,HOLD,2026-05-18
MCD,0.5154940436826931,HOLD,2026-05-18
FIS,0.5119416970674289,HOLD,2026-05-18
TGT,0.5115254749882626,HOLD,2026-05-18
TXN,0.5111740352815338,HOLD,2026-05-18
QCOM,0.5108325622312402,HOLD,2026-05-18
BKNG,0.5103544119853787,HOLD,2026-05-18
ETN,0.5101132178909382,HOLD,2026-05-18
FDX,0.508255694559839,HOLD,2026-05-18
ADBE,0.5082246681714228,HOLD,2026-05-18
AXP,0.5079268649753409,HOLD,2026-05-18
HCA,0.5074279740574094,HOLD,2026-05-18
JNJ,0.5064898634002162,HOLD,2026-05-18
PNC,0.5025147088756956,HOLD,2026-05-18
HON,0.5020805970495168,HOLD,2026-05-18
MRK,0.499830382836117,HOLD,2026-05-18
USB,0.4988498276350696,HOLD,2026-05-18
BRK-B,0.49777739960429473,HOLD,2026-05-18
PG,0.49677740245334906,HOLD,2026-05-18
CB,0.4963440779603527,HOLD,2026-05-18
PFE,0.49287133928687676,HOLD,2026-05-18
DIS,0.49209154759745405,HOLD,2026-05-18
GS,0.49165534424263635,HOLD,2026-05-18
BA,0.49165041208387983,HOLD,2026-05-18
BAC,0.4910455543435835,HOLD,2026-05-18
SLB,0.49071279574918786,HOLD,2026-05-18
ACN,0.4901313187305268,HOLD,2026-05-18
NEE,0.48899817565517634,HOLD,2026-05-18
MA,0.48778537163255936,HOLD,2026-05-18
TJX,0.4875005922712207,HOLD,2026-05-18
CAT,0.48723757765069736,HOLD,2026-05-18
CL,0.4866462587072989,HOLD,2026-05-18
DUK,0.48358194628163376,HOLD,2026-05-18
PLD,0.48348446975787396,HOLD,2026-05-18
CI,0.48326224448459365,HOLD,2026-05-18
SCHW,0.48297145627647287,HOLD,2026-05-18
CSCO,0.4829284315737877,AVOID,2026-05-18
ICE,0.48117164756496533,AVOID,2026-05-18
CME,0.47857511270876024,AVOID,2026-05-18
EQIX,0.4780766040947692,AVOID,2026-05-18
MRSH,0.46539017764089324,AVOID,2026-05-18
NSC,0.46400954474437506,AVOID,2026-05-18
PM,0.4632283997051642,AVOID,2026-05-18
CSX,0.4631586568299403,AVOID,2026-05-18
SPGI,0.46236880916471174,AVOID,2026-05-18
PEP,0.46229801518688124,AVOID,2026-05-18
WMT,0.45562105036965894,AVOID,2026-05-18
JPM,0.44401204349270623,AVOID,2026-05-18
V,0.44296474166614624,AVOID,2026-05-18
GE,0.4133431689482531,AVOID,2026-05-18
NVDA,0.40985657305653933,AVOID,2026-05-18
LLY,0.39852460466269685,AVOID,2026-05-18
CVX,0.3971268957049335,AVOID,2026-05-18
UNH,0.390889671032359,AVOID,2026-05-18
GOOGL,0.3835294600600445,AVOID,2026-05-18
AAPL,0.35458889014053185,AVOID,2026-05-18
