ticker,predicted_rank,watchlist_signal,score_date
ZTS,0.68444677195217,BUY,2026-05-22
ADP,0.6770545815636159,BUY,2026-05-22
MSFT,0.6661449672906152,BUY,2026-05-22
META,0.6472639304810559,BUY,2026-05-22
NOW,0.6463859951114679,BUY,2026-05-22
INTU,0.5931776667939181,BUY,2026-05-22
CRM,0.5900514629756328,BUY,2026-05-22
NFLX,0.5791996170389161,BUY,2026-05-22
HD,0.5740443599197266,BUY,2026-05-22
SHW,0.5628108076236662,BUY,2026-05-22
LOW,0.5617691596445268,BUY,2026-05-22
SYK,0.5589967902115954,BUY,2026-05-22
APD,0.5551652612309613,BUY,2026-05-22
DHR,0.5517225653398559,BUY,2026-05-22
AON,0.5511110026194433,BUY,2026-05-22
DE,0.5509038594719302,BUY,2026-05-22
ROP,0.5481070463536747,BUY,2026-05-22
RTX,0.5478537002825948,BUY,2026-05-22
MCD,0.5475815099060922,BUY,2026-05-22
ISRG,0.5452965471948856,BUY,2026-05-22
TMO,0.5448746849574895,HOLD,2026-05-22
SO,0.5445203544393598,HOLD,2026-05-22
CME,0.5440394365135917,HOLD,2026-05-22
MO,0.5437126642551805,HOLD,2026-05-22
BLK,0.5362049465115905,HOLD,2026-05-22
ORCL,0.5339158889536267,HOLD,2026-05-22
HCA,0.5338039116429113,HOLD,2026-05-22
ITW,0.532214138844496,HOLD,2026-05-22
MDT,0.5294569736974849,HOLD,2026-05-22
NKE,0.528942293716334,HOLD,2026-05-22
ABT,0.525075044952913,HOLD,2026-05-22
WM,0.5248841524996931,HOLD,2026-05-22
FIS,0.5241356921184902,HOLD,2026-05-22
KO,0.5223407080133715,HOLD,2026-05-22
XOM,0.521611294785704,HOLD,2026-05-22
REGN,0.5209625841571781,HOLD,2026-05-22
AMZN,0.5198264009659088,HOLD,2026-05-22
ECL,0.51851375663206,HOLD,2026-05-22
ACN,0.5146797863168944,HOLD,2026-05-22
LIN,0.5143604994832078,HOLD,2026-05-22
UPS,0.5132376824001915,HOLD,2026-05-22
BDX,0.5098959189464424,HOLD,2026-05-22
ETN,0.5077036879614895,HOLD,2026-05-22
COST,0.5071364291650168,HOLD,2026-05-22
JNJ,0.5052882771413248,HOLD,2026-05-22
TXN,0.5047353283484919,HOLD,2026-05-22
VZ,0.503778124262766,HOLD,2026-05-22
SLB,0.5020513328272237,HOLD,2026-05-22
AXP,0.5016853893503919,HOLD,2026-05-22
USB,0.5012171860508156,HOLD,2026-05-22
AMGN,0.5009093820151127,HOLD,2026-05-22
PNC,0.4999678370935652,HOLD,2026-05-22
WMT,0.4986875127741517,HOLD,2026-05-22
MRK,0.49830009299988176,HOLD,2026-05-22
GILD,0.4962534583850475,HOLD,2026-05-22
CSX,0.49611201106400293,HOLD,2026-05-22
NEE,0.494612394077776,HOLD,2026-05-22
LMT,0.49431843806180625,HOLD,2026-05-22
FDX,0.49407879599422916,HOLD,2026-05-22
BAC,0.4931076570170317,HOLD,2026-05-22
BKNG,0.491683299709606,HOLD,2026-05-22
DIS,0.49119823045054434,HOLD,2026-05-22
PFE,0.4910420522942932,HOLD,2026-05-22
PG,0.4909955549471483,HOLD,2026-05-22
CI,0.48987196904850205,HOLD,2026-05-22
HON,0.4882540188910041,HOLD,2026-05-22
ADBE,0.487851661867795,HOLD,2026-05-22
MA,0.4871380308523672,HOLD,2026-05-22
CSCO,0.48634971040422975,HOLD,2026-05-22
PEP,0.4863353236216356,HOLD,2026-05-22
NSC,0.4852119498733815,HOLD,2026-05-22
CL,0.48512517149270895,HOLD,2026-05-22
BA,0.48487585956492496,HOLD,2026-05-22
SCHW,0.4820323639392093,HOLD,2026-05-22
CB,0.4813004593672728,HOLD,2026-05-22
PLD,0.48075928767694087,HOLD,2026-05-22
IBM,0.4806209473979853,HOLD,2026-05-22
EQIX,0.47900320923073764,HOLD,2026-05-22
TJX,0.47634443450856767,HOLD,2026-05-22
TGT,0.47444432079341115,HOLD,2026-05-22
BRK-B,0.4719019755496108,AVOID,2026-05-22
QCOM,0.46556014085927044,AVOID,2026-05-22
ICE,0.4633812654547806,AVOID,2026-05-22
GE,0.46157070335250305,AVOID,2026-05-22
MRSH,0.4606095684401557,AVOID,2026-05-22
SPGI,0.45941016512617705,AVOID,2026-05-22
JPM,0.4503465262841641,AVOID,2026-05-22
DUK,0.44987765688613696,AVOID,2026-05-22
PM,0.44920552704470895,AVOID,2026-05-22
CMCSA,0.44720434037994183,AVOID,2026-05-22
GS,0.44339568488810205,AVOID,2026-05-22
INTC,0.441606427741755,AVOID,2026-05-22
LLY,0.4315829787528845,AVOID,2026-05-22
V,0.4308714375792027,AVOID,2026-05-22
NVDA,0.4146994866965546,AVOID,2026-05-22
CAT,0.40615115375602867,AVOID,2026-05-22
CVX,0.40307977109458243,AVOID,2026-05-22
UNH,0.3913234040832545,AVOID,2026-05-22
GOOGL,0.3883231953541458,AVOID,2026-05-22
AAPL,0.31013673745989867,AVOID,2026-05-22
