ticker,predicted_rank,watchlist_signal,score_date
ZTS,0.7117555791536158,BUY,2026-06-08
ORCL,0.6265751710435167,BUY,2026-06-08
META,0.6127794979012011,BUY,2026-06-08
CME,0.6033481424500415,BUY,2026-06-08
ACN,0.5990556326469861,BUY,2026-06-08
INTU,0.5971881461018999,BUY,2026-06-08
ADP,0.5922435759150979,BUY,2026-06-08
APD,0.5800816444863364,BUY,2026-06-08
JNJ,0.5797637093386515,BUY,2026-06-08
DUK,0.5771112063090139,BUY,2026-06-08
ROP,0.5744058680574046,BUY,2026-06-08
FIS,0.5715555753507847,BUY,2026-06-08
HCA,0.5693615357871005,BUY,2026-06-08
AON,0.5655950820283269,BUY,2026-06-08
NSC,0.5540138920228731,BUY,2026-06-08
LOW,0.5479942556994866,BUY,2026-06-08
PM,0.5447556322573172,BUY,2026-06-08
SO,0.5410950006912815,BUY,2026-06-08
NOW,0.5387996909203108,BUY,2026-06-08
WM,0.5381688336713453,BUY,2026-06-08
NKE,0.5377241867453586,HOLD,2026-06-08
RTX,0.53584631398666,HOLD,2026-06-08
MRSH,0.5328700683465859,HOLD,2026-06-08
BDX,0.5325865320342646,HOLD,2026-06-08
GILD,0.5319796507603517,HOLD,2026-06-08
ISRG,0.5315726104080098,HOLD,2026-06-08
LMT,0.5241541290872156,HOLD,2026-06-08
NVDA,0.5233614266365338,HOLD,2026-06-08
BAC,0.5221355194467999,HOLD,2026-06-08
AMZN,0.5211915209443915,HOLD,2026-06-08
LIN,0.5208631584944695,HOLD,2026-06-08
KO,0.5202825697561335,HOLD,2026-06-08
MO,0.5151586445114301,HOLD,2026-06-08
MSFT,0.5150790253395009,HOLD,2026-06-08
REGN,0.5147838635842816,HOLD,2026-06-08
TXN,0.5114075353138836,HOLD,2026-06-08
ETN,0.5109458184998259,HOLD,2026-06-08
VZ,0.5098849134303765,HOLD,2026-06-08
COST,0.5097588115839337,HOLD,2026-06-08
CI,0.5067036577755359,HOLD,2026-06-08
ADBE,0.5058339349530873,HOLD,2026-06-08
UPS,0.5055313646306439,HOLD,2026-06-08
BLK,0.5025136077148369,HOLD,2026-06-08
CSCO,0.50132086161418,HOLD,2026-06-08
ECL,0.5008132872087814,HOLD,2026-06-08
TMO,0.5002122864265793,HOLD,2026-06-08
ICE,0.4997441365777205,HOLD,2026-06-08
AXP,0.4990934033506876,HOLD,2026-06-08
ABT,0.49882129511349554,HOLD,2026-06-08
USB,0.49862349327387223,HOLD,2026-06-08
HD,0.49795953431666895,HOLD,2026-06-08
TGT,0.4969460314597088,HOLD,2026-06-08
CB,0.4965045237584922,HOLD,2026-06-08
MA,0.496445677005412,HOLD,2026-06-08
AMGN,0.49580524729674097,HOLD,2026-06-08
BA,0.49516029996037264,HOLD,2026-06-08
SHW,0.4949838670945035,HOLD,2026-06-08
INTC,0.49477942625729554,HOLD,2026-06-08
BKNG,0.4945840912175359,HOLD,2026-06-08
HON,0.4940886597232935,HOLD,2026-06-08
FDX,0.4939804840260688,HOLD,2026-06-08
WMT,0.49259181350634457,HOLD,2026-06-08
QCOM,0.4917048269385205,HOLD,2026-06-08
GOOGL,0.4916329150285414,HOLD,2026-06-08
DIS,0.49131105866548513,HOLD,2026-06-08
GE,0.49087405684194485,HOLD,2026-06-08
PFE,0.49063893405746,HOLD,2026-06-08
PG,0.4899326645425619,HOLD,2026-06-08
CL,0.48991576762384625,HOLD,2026-06-08
DE,0.48784650811344676,HOLD,2026-06-08
ITW,0.4873618222670749,HOLD,2026-06-08
SLB,0.4850618400934884,HOLD,2026-06-08
SCHW,0.4835293981275329,HOLD,2026-06-08
MCD,0.48348112078259137,HOLD,2026-06-08
IBM,0.48337816403535727,HOLD,2026-06-08
PNC,0.48285507222412105,HOLD,2026-06-08
PLD,0.4826919898412815,HOLD,2026-06-08
EQIX,0.4811933779026473,HOLD,2026-06-08
CMCSA,0.480223514926217,HOLD,2026-06-08
CSX,0.4788098848395641,HOLD,2026-06-08
PEP,0.47391219294219855,AVOID,2026-06-08
TJX,0.4733328549169586,AVOID,2026-06-08
NFLX,0.4720816815778727,AVOID,2026-06-08
MRK,0.4688473368578681,AVOID,2026-06-08
DHR,0.4673943511683797,AVOID,2026-06-08
MDT,0.4665390834788495,AVOID,2026-06-08
GS,0.4645104223800474,AVOID,2026-06-08
NEE,0.46187845304957703,AVOID,2026-06-08
BRK-B,0.45879248304232123,AVOID,2026-06-08
SPGI,0.45649062893611597,AVOID,2026-06-08
SYK,0.44530415821026376,AVOID,2026-06-08
CRM,0.4386570369810681,AVOID,2026-06-08
V,0.4364683631554298,AVOID,2026-06-08
XOM,0.42781704849568325,AVOID,2026-06-08
JPM,0.424149148689505,AVOID,2026-06-08
CVX,0.3999963413754646,AVOID,2026-06-08
UNH,0.39664089953596476,AVOID,2026-06-08
LLY,0.3940610937039602,AVOID,2026-06-08
CAT,0.38701027275052596,AVOID,2026-06-08
AAPL,0.34054562524247545,AVOID,2026-06-08
