ticker,predicted_rank,watchlist_signal,score_date
INTU,0.759338500935974,BUY,2026-06-29
ZTS,0.7242509234076777,BUY,2026-06-29
AON,0.6849285905511557,BUY,2026-06-29
ADP,0.667678210936596,BUY,2026-06-29
DUK,0.6338910169920192,BUY,2026-06-29
JNJ,0.6279286041117358,BUY,2026-06-29
ACN,0.6217850867305094,BUY,2026-06-29
HCA,0.6138123435508493,BUY,2026-06-29
CME,0.6122611683622261,BUY,2026-06-29
MRK,0.6084837874890906,BUY,2026-06-29
VZ,0.602858936920525,BUY,2026-06-29
ICE,0.6025077872441797,BUY,2026-06-29
FIS,0.6010715169062498,BUY,2026-06-29
LMT,0.593692028874169,BUY,2026-06-29
CI,0.5936512262694079,BUY,2026-06-29
APD,0.5923385860367567,BUY,2026-06-29
NKE,0.5868327764146741,BUY,2026-06-29
GOOGL,0.5838574693996944,BUY,2026-06-29
NVDA,0.5730764532928958,BUY,2026-06-29
CL,0.5730395298636116,BUY,2026-06-29
QCOM,0.5718777728062092,HOLD,2026-06-29
REGN,0.5656085285938891,HOLD,2026-06-29
BDX,0.5629862867802456,HOLD,2026-06-29
ROP,0.5622568510502889,HOLD,2026-06-29
SLB,0.5488458855012458,HOLD,2026-06-29
NSC,0.5445458129555799,HOLD,2026-06-29
CSCO,0.5373339630028863,HOLD,2026-06-29
NOW,0.5356273464729044,HOLD,2026-06-29
GILD,0.5304052233316058,HOLD,2026-06-29
UNH,0.5303445953672757,HOLD,2026-06-29
WM,0.5301001356161917,HOLD,2026-06-29
SYK,0.528820562271318,HOLD,2026-06-29
SO,0.5274339795146866,HOLD,2026-06-29
V,0.5271914261917833,HOLD,2026-06-29
ISRG,0.5269404411182832,HOLD,2026-06-29
MRSH,0.5237476682836625,HOLD,2026-06-29
PG,0.5232681661292261,HOLD,2026-06-29
AAPL,0.5230315906854235,HOLD,2026-06-29
MA,0.5227309917699173,HOLD,2026-06-29
META,0.516543844954056,HOLD,2026-06-29
CMCSA,0.5145807886811649,HOLD,2026-06-29
LIN,0.513405229464817,HOLD,2026-06-29
GS,0.5079570356212002,HOLD,2026-06-29
BA,0.5055876648610456,HOLD,2026-06-29
LOW,0.5038448832916015,HOLD,2026-06-29
UPS,0.5012232026789281,HOLD,2026-06-29
GE,0.4996802623221665,HOLD,2026-06-29
CVX,0.4981285014956768,HOLD,2026-06-29
NEE,0.4975162841857059,HOLD,2026-06-29
ITW,0.49737608710896514,HOLD,2026-06-29
TMO,0.49728901120871827,HOLD,2026-06-29
SHW,0.49715653802304816,HOLD,2026-06-29
BAC,0.4965180197815319,HOLD,2026-06-29
ECL,0.49634489581555724,HOLD,2026-06-29
TJX,0.4959699869311539,HOLD,2026-06-29
FDX,0.4936771513707877,HOLD,2026-06-29
AMGN,0.49211260076827235,HOLD,2026-06-29
XOM,0.4921015206884001,HOLD,2026-06-29
MCD,0.4917752299060876,HOLD,2026-06-29
BLK,0.4916319978207098,HOLD,2026-06-29
PLD,0.49162758973625387,HOLD,2026-06-29
AXP,0.4915568588134629,HOLD,2026-06-29
BKNG,0.4909945281294107,HOLD,2026-06-29
IBM,0.49030245475301837,HOLD,2026-06-29
RTX,0.4901109543643568,HOLD,2026-06-29
DIS,0.48994296513592256,HOLD,2026-06-29
TGT,0.48813161703587904,HOLD,2026-06-29
WMT,0.4872647894619128,HOLD,2026-06-29
COST,0.4853598389417695,HOLD,2026-06-29
ORCL,0.4838293587996876,HOLD,2026-06-29
DHR,0.4835917127933997,HOLD,2026-06-29
PM,0.48264676790655453,HOLD,2026-06-29
MSFT,0.48169090915868634,HOLD,2026-06-29
HD,0.4814820845939812,HOLD,2026-06-29
SPGI,0.4812415628097075,HOLD,2026-06-29
USB,0.4795007300200469,HOLD,2026-06-29
EQIX,0.4790549624524086,HOLD,2026-06-29
MDT,0.4787351391306412,HOLD,2026-06-29
SCHW,0.47784870489832904,HOLD,2026-06-29
ETN,0.47733023229392424,HOLD,2026-06-29
CSX,0.4749950868494643,AVOID,2026-06-29
PFE,0.4739463824891786,AVOID,2026-06-29
TXN,0.471304276462767,AVOID,2026-06-29
PEP,0.46797791708772707,AVOID,2026-06-29
DE,0.46783827003318523,AVOID,2026-06-29
BRK-B,0.466281058430455,AVOID,2026-06-29
ADBE,0.4530620534443301,AVOID,2026-06-29
NFLX,0.45163789954000405,AVOID,2026-06-29
INTC,0.4350932566209597,AVOID,2026-06-29
KO,0.42965659097797004,AVOID,2026-06-29
CB,0.4285218691391858,AVOID,2026-06-29
HON,0.4284423596720123,AVOID,2026-06-29
ABT,0.4260885961172463,AVOID,2026-06-29
MO,0.4166556568215852,AVOID,2026-06-29
CAT,0.41522276823932075,AVOID,2026-06-29
AMZN,0.41194358706777356,AVOID,2026-06-29
PNC,0.3990093631981233,AVOID,2026-06-29
CRM,0.3966038087690705,AVOID,2026-06-29
JPM,0.3910369583892149,AVOID,2026-06-29
LLY,0.3807611852615113,AVOID,2026-06-29
