ticker,predicted_rank,watchlist_signal,score_date
NOW,0.6739998106299158,BUY,2026-05-11
ZTS,0.6561034738576303,BUY,2026-05-11
MO,0.6151187935389784,BUY,2026-05-11
CRM,0.6048755251992536,BUY,2026-05-11
ADP,0.5924191698492257,BUY,2026-05-11
APD,0.5914804892997647,BUY,2026-05-11
CMCSA,0.583092808416903,BUY,2026-05-11
HD,0.5813591417945007,BUY,2026-05-11
META,0.566911752819206,BUY,2026-05-11
INTU,0.5661186226424317,BUY,2026-05-11
DHR,0.5658092950790086,BUY,2026-05-11
ISRG,0.5658056096209813,BUY,2026-05-11
LOW,0.5649366993410174,BUY,2026-05-11
NFLX,0.5647456908461893,BUY,2026-05-11
SHW,0.563785961889005,BUY,2026-05-11
FIS,0.563608674690532,BUY,2026-05-11
AMZN,0.5618230105205885,BUY,2026-05-11
SYK,0.5583113488279654,BUY,2026-05-11
ORCL,0.5567582381956189,BUY,2026-05-11
MDT,0.5530979553597339,BUY,2026-05-11
LMT,0.5526045717302929,HOLD,2026-05-11
NKE,0.5522078397803262,HOLD,2026-05-11
RTX,0.552109802399326,HOLD,2026-05-11
BLK,0.5510374957814113,HOLD,2026-05-11
MCD,0.5483938733222407,HOLD,2026-05-11
AMGN,0.5345317710855557,HOLD,2026-05-11
ACN,0.5326410850248461,HOLD,2026-05-11
TMO,0.5298892838356473,HOLD,2026-05-11
VZ,0.5295388764271171,HOLD,2026-05-11
CME,0.5290792178077487,HOLD,2026-05-11
ITW,0.5281302090819081,HOLD,2026-05-11
MSFT,0.5279716266566106,HOLD,2026-05-11
GILD,0.5277028139778982,HOLD,2026-05-11
LIN,0.5247093671289479,HOLD,2026-05-11
IBM,0.5216797404187474,HOLD,2026-05-11
WM,0.5203658970736381,HOLD,2026-05-11
ECL,0.5194760523912814,HOLD,2026-05-11
AON,0.516882088127405,HOLD,2026-05-11
UPS,0.5165252227000319,HOLD,2026-05-11
SCHW,0.5127982641575327,HOLD,2026-05-11
TGT,0.5120523513359392,HOLD,2026-05-11
BDX,0.5099216767191862,HOLD,2026-05-11
AXP,0.5099215291126155,HOLD,2026-05-11
ADBE,0.5095355840114436,HOLD,2026-05-11
COST,0.5088481184383945,HOLD,2026-05-11
KO,0.5021185794120973,HOLD,2026-05-11
HCA,0.5001700917002554,HOLD,2026-05-11
HON,0.5000139347373685,HOLD,2026-05-11
TJX,0.4991766732254453,HOLD,2026-05-11
SO,0.4990790794783709,HOLD,2026-05-11
MRK,0.49897645712778776,HOLD,2026-05-11
REGN,0.49842736458248776,HOLD,2026-05-11
ROP,0.4977341299228121,HOLD,2026-05-11
TXN,0.49765285032863543,HOLD,2026-05-11
PNC,0.4961134795797747,HOLD,2026-05-11
NEE,0.4951491933498186,HOLD,2026-05-11
SLB,0.4946947487292768,HOLD,2026-05-11
BAC,0.49433265332568965,HOLD,2026-05-11
PFE,0.4932010621988759,HOLD,2026-05-11
INTC,0.492724047068059,HOLD,2026-05-11
USB,0.4918945664718265,HOLD,2026-05-11
DE,0.4915814189546927,HOLD,2026-05-11
PG,0.4914583110203822,HOLD,2026-05-11
DIS,0.49079400786316324,HOLD,2026-05-11
CI,0.4898498970800773,HOLD,2026-05-11
ABT,0.4859721668426629,HOLD,2026-05-11
PEP,0.4850785733219535,HOLD,2026-05-11
CL,0.4848036777018422,HOLD,2026-05-11
GS,0.483419522781364,HOLD,2026-05-11
BKNG,0.48266533962238584,HOLD,2026-05-11
PLD,0.48251749171994657,HOLD,2026-05-11
ICE,0.4815110001939716,HOLD,2026-05-11
FDX,0.48137328747541064,HOLD,2026-05-11
BRK-B,0.4809296162169615,HOLD,2026-05-11
CB,0.48067676764057393,HOLD,2026-05-11
EQIX,0.47935169765510655,HOLD,2026-05-11
MA,0.47860523606927735,HOLD,2026-05-11
GE,0.4773959465842441,HOLD,2026-05-11
CSCO,0.47676402135796764,HOLD,2026-05-11
MRSH,0.4743967370331104,HOLD,2026-05-11
DUK,0.4709224765286145,AVOID,2026-05-11
BA,0.47083685307426765,AVOID,2026-05-11
JNJ,0.46805645739080964,AVOID,2026-05-11
SPGI,0.4673602932633154,AVOID,2026-05-11
ETN,0.4669265621071066,AVOID,2026-05-11
NSC,0.46372774728576444,AVOID,2026-05-11
CSX,0.46170186532478596,AVOID,2026-05-11
QCOM,0.4602214999865824,AVOID,2026-05-11
LLY,0.45774574976081367,AVOID,2026-05-11
PM,0.45254254787402004,AVOID,2026-05-11
XOM,0.44759457881604914,AVOID,2026-05-11
NVDA,0.4426640067955799,AVOID,2026-05-11
WMT,0.4377103947678301,AVOID,2026-05-11
JPM,0.4341880074810146,AVOID,2026-05-11
GOOGL,0.42476534291602713,AVOID,2026-05-11
V,0.4194780455063324,AVOID,2026-05-11
UNH,0.4179439715634615,AVOID,2026-05-11
CVX,0.4084870340135739,AVOID,2026-05-11
AAPL,0.3919951122019981,AVOID,2026-05-11
CAT,0.366609474935761,AVOID,2026-05-11
