ticker,predicted_rank,watchlist_signal,score_date
ZTS,0.6879029784351226,BUY,2026-06-22
INTU,0.645468954357812,BUY,2026-06-22
ADP,0.6386954465149932,BUY,2026-06-22
AON,0.6362769911105064,BUY,2026-06-22
GOOGL,0.6343718437481346,BUY,2026-06-22
ACN,0.6262874572586532,BUY,2026-06-22
JNJ,0.6252746978586861,BUY,2026-06-22
FIS,0.6082147122132401,BUY,2026-06-22
LMT,0.6033266665647187,BUY,2026-06-22
CME,0.5934763578770691,BUY,2026-06-22
HCA,0.5908297779237893,BUY,2026-06-22
CB,0.5837832890699294,BUY,2026-06-22
SLB,0.5778030574442066,BUY,2026-06-22
NOW,0.5748122561319025,BUY,2026-06-22
NSC,0.5720752795516026,BUY,2026-06-22
SO,0.5709556124960334,BUY,2026-06-22
ISRG,0.5553415724673165,BUY,2026-06-22
ROP,0.5484867670596468,BUY,2026-06-22
ICE,0.5473197815983788,BUY,2026-06-22
REGN,0.5470610516814987,BUY,2026-06-22
LOW,0.5385130005041712,HOLD,2026-06-22
MRSH,0.536004676882645,HOLD,2026-06-22
VZ,0.5345910816142799,HOLD,2026-06-22
KO,0.5329949843363099,HOLD,2026-06-22
ORCL,0.5294105387409086,HOLD,2026-06-22
CI,0.529013804316924,HOLD,2026-06-22
NVDA,0.5289251148117655,HOLD,2026-06-22
CSCO,0.5281506667232378,HOLD,2026-06-22
NKE,0.5275480537312116,HOLD,2026-06-22
APD,0.5236265284635184,HOLD,2026-06-22
CL,0.5231569195186822,HOLD,2026-06-22
PG,0.5230607039276326,HOLD,2026-06-22
GILD,0.5221551098442603,HOLD,2026-06-22
BDX,0.5202299492588316,HOLD,2026-06-22
WM,0.5166576217815517,HOLD,2026-06-22
QCOM,0.5151063884671568,HOLD,2026-06-22
LIN,0.5118634365070432,HOLD,2026-06-22
ABT,0.5115411953230505,HOLD,2026-06-22
MA,0.5110719190236009,HOLD,2026-06-22
PM,0.5109935011559117,HOLD,2026-06-22
META,0.5099285853717543,HOLD,2026-06-22
CMCSA,0.5084803008139112,HOLD,2026-06-22
BA,0.5075628585378488,HOLD,2026-06-22
BLK,0.5033289934989343,HOLD,2026-06-22
TMO,0.5031771075328166,HOLD,2026-06-22
AMZN,0.5026850862749506,HOLD,2026-06-22
ECL,0.5016905373980164,HOLD,2026-06-22
UPS,0.5013820098628755,HOLD,2026-06-22
FDX,0.4987263064820283,HOLD,2026-06-22
MRK,0.49825028214076744,HOLD,2026-06-22
DUK,0.49596213460979005,HOLD,2026-06-22
GE,0.49498638389063493,HOLD,2026-06-22
BAC,0.4947299925259092,HOLD,2026-06-22
BKNG,0.49415584286732744,HOLD,2026-06-22
NFLX,0.4938604279721447,HOLD,2026-06-22
SHW,0.49383062191922167,HOLD,2026-06-22
AXP,0.4925131425527338,HOLD,2026-06-22
RTX,0.49235350718743776,HOLD,2026-06-22
MSFT,0.4923191975891601,HOLD,2026-06-22
NEE,0.4916316306675509,HOLD,2026-06-22
AMGN,0.4915288760141186,HOLD,2026-06-22
DIS,0.4903948050353781,HOLD,2026-06-22
HON,0.49014338539412716,HOLD,2026-06-22
WMT,0.489161684850732,HOLD,2026-06-22
ADBE,0.4890542695629486,HOLD,2026-06-22
PFE,0.48895207752991154,HOLD,2026-06-22
TGT,0.4879749337790379,HOLD,2026-06-22
TJX,0.4876876461942487,HOLD,2026-06-22
HD,0.4874816041975248,HOLD,2026-06-22
CVX,0.48705067714243533,HOLD,2026-06-22
SCHW,0.4870005965264562,HOLD,2026-06-22
PEP,0.4853705466033251,HOLD,2026-06-22
ITW,0.4852252719013517,HOLD,2026-06-22
XOM,0.48465017279750866,HOLD,2026-06-22
V,0.4838259890698137,HOLD,2026-06-22
EQIX,0.4825820386690213,HOLD,2026-06-22
PLD,0.4821025727079357,HOLD,2026-06-22
USB,0.4801718868434785,HOLD,2026-06-22
DE,0.4798459853549904,HOLD,2026-06-22
PNC,0.47938011630038935,HOLD,2026-06-22
COST,0.4790790933245509,AVOID,2026-06-22
CSX,0.47895367608196826,AVOID,2026-06-22
SPGI,0.4701952325365761,AVOID,2026-06-22
DHR,0.4657141486348082,AVOID,2026-06-22
MDT,0.46431118556710005,AVOID,2026-06-22
AAPL,0.46067313928219183,AVOID,2026-06-22
BRK-B,0.46039652279310755,AVOID,2026-06-22
GS,0.4556279788099037,AVOID,2026-06-22
TXN,0.45547876626870304,AVOID,2026-06-22
IBM,0.4513875182648244,AVOID,2026-06-22
SYK,0.4487328353904713,AVOID,2026-06-22
ETN,0.44825876662478703,AVOID,2026-06-22
MCD,0.43093242405957843,AVOID,2026-06-22
MO,0.4296107540662492,AVOID,2026-06-22
CRM,0.4092212757496855,AVOID,2026-06-22
LLY,0.4046366094467268,AVOID,2026-06-22
INTC,0.4000746725332629,AVOID,2026-06-22
CAT,0.3976659048707698,AVOID,2026-06-22
UNH,0.3963470186498976,AVOID,2026-06-22
JPM,0.38034121539222515,AVOID,2026-06-22
