,fold_1,fold_2,fold_3,fold_4,fold_5
log_dollar_vol_60,0.018969497380513956,0.019385629723630966,0.015225166371592113,0.012544416587450615,0.011399021346195502
beta_to_spx_60,0.008633943602232373,0.009085350184235551,0.012339914390817532,0.010738868021026946,0.010685994904560675
realized_vol_20,0.008500483116418187,0.006163112175863523,0.007775611312198649,0.004807890287901772,0.005844929276491209
mom_12_1,0.022630371040319515,0.006232679398259761,0.006107833512124279,0.007049622994655273,0.003486423508239807
macd_signal,0.014999430331545282,0.011822887933659616,0.014984024204793885,0.011303704299386035,0.009492410366601032
pct_52w_high,0.006110107416152587,0.015007333193740618,0.02451292445483964,0.006504912148052991,0.007390037747701197
mom_60,0.00826858935026027,0.01359688462812359,0.009662461529521877,0.007376306370356587,0.004044813310056663
drawdown_60,0.0037336274110650607,0.00542006965674949,0.004440289369610864,0.0022179384424523226,0.00210955680252848
